filter_scaling,depth,batch_size,fold,batch_norm_momentum,final_epoch,random_seed,highest_val_acc,lowest_val_lossthreshold_max,mAP_max,threshold_max_class_1,mAP_max_class_1
32.0,4.0,64.0,1.0,0.6,28.0,995893421.0,0.9818789446076681,0.06077183237256006,0.44897959183673464,0.347093023255814,0.4081632653061224,0.26
32.0,4.0,64.0,2.0,0.6,27.0,1168098323.0,0.9842834458794705,0.051169688878364344,0.36734693877551017,0.386046511627907,0.32653061224489793,0.28782608695652173
32.0,4.0,64.0,3.0,0.6,32.0,4186765529.0,0.9847692431405534,0.050092888779418414,0.3877551020408163,0.40232558139534885,0.3877551020408163,0.3139130434782609
32.0,4.0,64.0,4.0,0.6,31.0,311384331.0,0.9836400955222374,0.05551469915134962,0.42857142857142855,0.436046511627907,0.42857142857142855,0.36086956521739133
32.0,5.0,64.0,1.0,0.6,33.0,3787114901.0,0.9847908921019976,0.04762410528438036,0.3877551020408163,0.42790697674418604,0.42857142857142855,0.33565217391304353
32.0,5.0,64.0,2.0,0.6,31.0,675257892.0,0.9860786629277606,0.04055465549923653,0.3061224489795918,0.40639534883720924,0.3061224489795918,0.29565217391304344
32.0,5.0,64.0,3.0,0.6,38.0,3787114901.0,0.9837820349737655,0.050228228619278864,0.3877551020408163,0.4284883720930234,0.3877551020408163,0.32434782608695656
32.0,5.0,64.0,4.0,0.6,37.0,188552266.0,0.982920090819514,0.054629510138617006,0.44897959183673464,0.43488372093023253,0.44897959183673464,0.35130434782608694
32.0,6.0,64.0,1.0,0.6,27.0,3526295286.0,0.9832813351653343,0.05588153065290562,0.4081632653061224,0.37383720930232556,0.42857142857142855,0.2956521739130435
32.0,6.0,64.0,2.0,0.6,41.0,4186765529.0,0.9860055626824845,0.0469349917284278,0.4693877551020408,0.4261627906976744,0.4897959183673469,0.331304347826087
32.0,6.0,64.0,3.0,0.6,32.0,2467090621.0,0.9816468718440033,0.05620288259761278,0.5510204081632653,0.39069767441860465,0.5510204081632653,0.3026086956521739
32.0,6.0,64.0,4.0,0.6,36.0,311384331.0,0.9848107612410257,0.048932790756225586,0.4081632653061224,0.45755813953488367,0.4081632653061224,0.3756521739130435
48.0,4.0,64.0,1.0,0.6,30.0,3853135667.0,0.9856890315233275,0.04867765584657358,0.3061224489795918,0.436046511627907,0.3469387755102041,0.31652173913043474
48.0,4.0,64.0,2.0,0.6,33.0,376137427.0,0.9856979029123173,0.04337674474646879,0.3877551020408163,0.4174418604651163,0.4693877551020408,0.3191304347826087
48.0,4.0,64.0,3.0,0.6,33.0,675257892.0,0.9868110820304515,0.03941656874362812,0.3061224489795918,0.43837209302325586,0.3877551020408163,0.328695652173913
48.0,4.0,64.0,4.0,0.6,31.0,675257892.0,0.987033931321876,0.039209743961691856,0.3061224489795918,0.44011627906976736,0.3061224489795918,0.33391304347826084
48.0,5.0,64.0,1.0,0.6,33.0,3787114901.0,0.9853253018024356,0.04633778610894846,0.42857142857142855,0.4319767441860466,0.5102040816326531,0.31999999999999995
48.0,5.0,64.0,2.0,0.6,32.0,675257892.0,0.987081836822421,0.03822383449174637,0.32653061224489793,0.4563953488372093,0.36734693877551017,0.3426086956521739
48.0,5.0,64.0,3.0,0.6,39.0,311384331.0,0.9851233917613362,0.045907618694527204,0.4693877551020408,0.45232558139534884,0.4693877551020408,0.3573913043478261
48.0,5.0,64.0,4.0,0.6,33.0,4182244923.0,0.9840985689052316,0.05006489365599876,0.4081632653061224,0.4296511627906977,0.42857142857142855,0.34260869565217394
64.0,4.0,64.0,1.0,0.6,32.0,4169304121.0,0.9839928205623183,0.051075628590445184,0.4081632653061224,0.39302325581395353,0.4081632653061224,0.29304347826086957
64.0,4.0,64.0,2.0,0.6,34.0,311384331.0,0.9844048064808513,0.04932854688444803,0.42857142857142855,0.4534883720930232,0.4897959183673469,0.3695652173913043
64.0,4.0,64.0,3.0,0.6,37.0,3712920337.0,0.981569513332012,0.06572845829434174,0.5306122448979591,0.4017441860465116,0.6530612244897959,0.3252173913043478
64.0,4.0,64.0,4.0,0.6,40.0,3526295286.0,0.9838338466577752,0.055771958775991615,0.5306122448979591,0.3965116279069767,0.5306122448979591,0.3226086956521739
64.0,5.0,64.0,1.0,0.6,32.0,2934358613.0,0.9839853672094123,0.05543825589120388,0.42857142857142855,0.44418604651162796,0.4693877551020408,0.37478260869565216
64.0,5.0,64.0,2.0,0.6,44.0,311384331.0,0.9854285633841227,0.04857807606458664,0.3469387755102041,0.4552325581395349,0.4081632653061224,0.36956521739130443
64.0,5.0,64.0,3.0,0.6,39.0,3243358376.0,0.9847873435464016,0.04710630622020988,0.36734693877551017,0.45465116279069767,0.3877551020408163,0.382608695652174
64.0,5.0,64.0,4.0,0.6,32.0,4182244923.0,0.9834300182586493,0.04997376725077629,0.4693877551020408,0.4331395348837209,0.4693877551020408,0.3504347826086957
48.0,6.0,64.0,1.0,0.6,35.0,3218039367.0,0.9823800034301226,0.06448845270761223,0.4081632653061224,0.3668604651162791,0.4081632653061224,0.29478260869565215
48.0,6.0,64.0,2.0,0.6,37.0,2024666062.0,0.9829931910647902,0.05595481092500132,0.3877551020408163,0.4000000000000001,0.3877551020408163,0.32086956521739135
48.0,6.0,64.0,3.0,0.6,31.0,3526295286.0,0.9835829637771429,0.05422981334633605,0.3061224489795918,0.38546511627906976,0.3877551020408163,0.30347826086956525
48.0,6.0,64.0,4.0,0.6,34.0,3787114901.0,0.9851588773172956,0.04825817122189111,0.44897959183673464,0.4511627906976744,0.44897959183673464,0.34608695652173915
64.0,6.0,64.0,1.0,0.6,41.0,147282256.0,0.984327094499455,0.05110121527036955,0.44897959183673464,0.40988372093023256,0.44897959183673464,0.29826086956521736
64.0,6.0,64.0,2.0,0.6,39.0,2293566478.0,0.9862010880958202,0.04110143151740695,0.3877551020408163,0.4418604651162791,0.44897959183673464,0.328695652173913
64.0,6.0,64.0,3.0,0.6,43.0,4182244923.0,0.9849683198817941,0.044333253922157506,0.4693877551020408,0.44941860465116285,0.5102040816326531,0.36000000000000004
64.0,6.0,64.0,4.0,0.6,43.0,1039982493.0,0.984935671784157,0.04866502910505894,0.3061224489795918,0.4563953488372093,0.3061224489795918,0.3860869565217392

80.0,4.0,64.0,1.0,0.6,34.0,2413962671.0,0.9829037688499274,0.055646255525738694,0.32653061224489793,0.42093023255813955,0.36734693877551017,0.3660869565217391
80.0,4.0,64.0,2.0,0.6,32.0,3712920337.0,0.9820599209430606,0.06426567558285802,0.36734693877551017,0.4127906976744186,0.42857142857142855,0.3417391304347826
80.0,4.0,64.0,3.0,0.6,31.0,311384331.0,0.9844168743421865,0.048662701838238294,0.42857142857142855,0.4395348837209303,0.42857142857142855,0.3591304347826087
80.0,4.0,64.0,4.0,0.6,33.0,3787114901.0,0.9841666984003644,0.05028542438738568,0.42857142857142855,0.45058139534883723,0.42857142857142855,0.36434782608695643
80.0,5.0,64.0,1.0,0.6,37.0,675257892.0,0.9887074329132257,0.034237862846186,0.42857142857142855,0.48430232558139524,0.42857142857142855,0.3634782608695652
80.0,5.0,64.0,2.0,0.6,41.0,3526295286.0,0.9844846489817597,0.04929201937345571,0.5306122448979591,0.4191860465116279,0.5306122448979591,0.3452173913043478
80.0,5.0,64.0,3.0,0.6,35.0,2467090621.0,0.9826223670050155,0.05217267590206723,0.3877551020408163,0.40406976744186046,0.5102040816326531,0.32347826086956516
80.0,5.0,64.0,4.0,0.6,37.0,2024666062.0,0.984340577624565,0.05141359524324883,0.3877551020408163,0.43023255813953487,0.3877551020408163,0.3426086956521739
96.0,4.0,64.0,1.0,0.6,27.0,342439024.0,0.9824374900307766,0.060057525198126946,0.4897959183673469,0.3872093023255814,0.42857142857142855,0.3095652173913044
96.0,4.0,64.0,2.0,0.6,32.0,4186765529.0,0.9858483588972757,0.045547956644102584,0.44897959183673464,0.42848837209302326,0.44897959183673464,0.34
96.0,4.0,64.0,3.0,0.6,25.0,311384331.0,0.9840467572212219,0.04761844994716866,0.4081632653061224,0.41686046511627917,0.4081632653061224,0.32521739130434796
96.0,4.0,64.0,4.0,0.6,28.0,1506214813.0,0.9829413835392442,0.053773598442243976,0.4081632653061224,0.3959302325581395,0.4693877551020408,0.3139130434782609
112.0,4.0,64.0,1.0,0.6,27.0,1168098323.0,0.9845566874326661,0.04931512093821237,0.3469387755102041,0.38953488372093026,0.3469387755102041,0.29043478260869565
112.0,4.0,64.0,2.0,0.6,27.0,4186765529.0,0.984409419603126,0.049832279425720834,0.42857142857142855,0.4011627906976745,0.44897959183673464,0.33217391304347826
112.0,4.0,64.0,3.0,0.6,27.0,4186765529.0,0.9848345365635184,0.047400041894857275,0.32653061224489793,0.41337209302325584,0.32653061224489793,0.33304347826086955
112.0,4.0,64.0,4.0,0.6,25.0,4186765529.0,0.9843029643214026,0.04795342094676439,0.36734693877551017,0.3930232558139535,0.3469387755102041,0.31043478260869567
128.0,4.0,64.0,1.0,0.6,34.0,1506214813.0,0.9821046341297238,0.05517179319678351,0.5102040816326531,0.38720930232558143,0.4897959183673469,0.30608695652173923
128.0,4.0,64.0,2.0,0.6,37.0,3712920337.0,0.9822362869284874,0.06275177478443744,0.5510204081632653,0.40406976744186046,0.5510204081632653,0.331304347826087
128.0,4.0,64.0,3.0,0.6,33.0,3526295286.0,0.982564528321111,0.05732618099035219,0.5102040816326531,0.3715116279069767,0.5510204081632653,0.30086956521739133
128.0,4.0,64.0,4.0,0.6,42.0,675257892.0,0.9875112120495286,0.03681533688376116,0.44897959183673464,0.45755813953488367,0.44897959183673464,0.3443478260869565