filter_scaling,depth,batchsize,fold,bn_momentum,highest_val_acc,lowest_val_loss,threshold_max,mAP_max,threshold_max_augmentation,mAP_max_augmentation
48.0,5.0,64.0,1.0,0.9,0.9787432098388672,0.06258340135216713,0.7346938775510203,0.767875,0.5714285714285714,0.7833749999999999
48.0,5.0,64.0,2.0,0.9,0.9702936553955078,0.08432596415281296,0.5510204081632653,0.715375,0.5306122448979591,0.7265
48.0,5.0,64.0,3.0,0.9,0.9736490631103516,0.07674368888139725,0.6326530612244897,0.7538750000000001,0.5918367346938775,0.7575
48.0,5.0,64.0,4.0,0.9,0.9700260925292968,0.08029470264911652,0.6326530612244897,0.7530000000000001,0.5714285714285714,0.75925
48.0,5.0,64.0,1.0,0.8,0.9717514038085937,0.07999642342329025,0.6938775510204082,0.731125,0.5918367346938775,0.7503749999999999
48.0,5.0,64.0,2.0,0.8,0.9720951080322265,0.0776646026968956,0.6326530612244897,0.7647499999999999,0.6530612244897959,0.771875
48.0,5.0,64.0,3.0,0.8,0.9712514495849609,0.08129477649927139,0.5510204081632653,0.7467500000000001,0.5918367346938775,0.7586250000000001
48.0,5.0,64.0,4.0,0.8,0.9732908630371093,0.07239935368299484,0.5714285714285714,0.7588750000000002,0.5510204081632653,0.76625
48.0,5.0,64.0,1.0,0.7,0.9735504150390625,0.07487133920192718,0.7142857142857142,0.74875,0.7346938775510203,0.7597499999999999
48.0,5.0,64.0,2.0,0.7,0.974964599609375,0.06963176429271697,0.6938775510204082,0.755625,0.5918367346938775,0.7765000000000001
48.0,5.0,64.0,3.0,0.7,0.97144775390625,0.07899498522281646,0.6122448979591836,0.7496250000000001,0.7142857142857142,0.76275
48.0,5.0,64.0,4.0,0.7,0.9713346862792969,0.07607737600803376,0.5714285714285714,0.7498750000000001,0.5510204081632653,0.7561249999999999
48.0,5.0,64.0,1.0,0.6,0.9746082305908204,0.06947261422872543,0.5102040816326531,0.7453750000000001,0.5306122448979591,0.7567499999999999
48.0,5.0,64.0,2.0,0.6,0.9756736755371094,0.07013818413019181,0.7142857142857142,0.754,0.5102040816326531,0.7767499999999999
48.0,5.0,64.0,3.0,0.6,0.9721865844726563,0.07890444472432137,0.6530612244897959,0.7646250000000001,0.5306122448979591,0.7713749999999999
48.0,5.0,64.0,4.0,0.6,0.9720052337646484,0.08124174028635026,0.36734693877551017,0.7628750000000001,0.44897959183673464,0.77225
48.0,5.0,64.0,1.0,0.5,0.9716554260253907,0.07821809455752372,0.7142857142857142,0.7375,0.673469387755102,0.7555000000000001
48.0,5.0,64.0,2.0,0.5,0.9716051483154297,0.0732874059677124,0.6530612244897959,0.7482500000000002,0.6938775510204082,0.7653749999999999
48.0,5.0,64.0,3.0,0.5,0.9717730712890625,0.08061738133430481,0.6530612244897959,0.757125,0.5510204081632653,0.774
48.0,5.0,64.0,4.0,0.5,0.9702689361572265,0.087736956179142,0.5306122448979591,0.720375,0.4897959183673469,0.7422500000000001