filter_scaling,depth,batchsize,fold,bn_momentum,optimizer,final_epoch,highest_val_acc,lowest_val_loss,threshold_max,mAP_max,threshold_max_augmentation,mAP_max_augmentation
48,5,64,1,0.6,SGD,58,0.9538438415527344,0.12961461365222932,0.8979591836734693,0.532,0.7346938775510203,0.6015
48,5,64,2,0.6,SGD,60,0.9500998687744141,0.14123049437999724,0.9183673469387754,0.50325,0.6530612244897959,0.56625
48,5,64,1,0.6,RMSprop,34,0.9691385650634765,0.0795956689119339,0.6122448979591836,0.7491249999999999,0.5510204081632653,0.7569999999999999
48,5,64,2,0.6,RMSprop,41,0.9697647094726562,0.08839899837970734,0.6122448979591836,0.734375,0.5918367346938775,0.7488750000000001
48,5,64,3,0.6,RMSprop,36,0.9698725891113281,0.07989012598991393,0.5918367346938775,0.7361249999999999,0.5918367346938775,0.743375
48,5,64,4,0.6,RMSprop,45,0.9737392425537109,0.07869574010372161,0.5510204081632653,0.7661250000000002,0.5102040816326531,0.7811250000000001
48,5,64,1,0.6,Adagrad,51,0.9680596923828125,0.08854412406682968,0.5918367346938775,0.726375,0.5510204081632653,0.7330000000000001
48,5,64,2,0.6,Adagrad,39,0.9618096923828126,0.09960826694965362,0.6122448979591836,0.6806250000000001,0.5918367346938775,0.6905000000000001
48,5,64,3,0.6,Adagrad,44,0.967950439453125,0.08806999564170838,0.5510204081632653,0.734375,0.4897959183673469,0.7463749999999999
48,5,64,4,0.6,Adagrad,46,0.9683524322509766,0.08354089766740799,0.7551020408163265,0.7301249999999999,0.6530612244897959,0.7365
48,5,64,1,0.6,Adadelta,33,0.9710214233398438,0.0868036425113678,0.7346938775510203,0.7403749999999999,0.6122448979591836,0.7530000000000001
48,5,64,2,0.6,Adadelta,33,0.9709182739257812,0.08427921235561371,0.6122448979591836,0.7345,0.5306122448979591,0.7402500000000001
48,5,64,3,0.6,Adadelta,27,0.9710736083984375,0.08329959332942963,0.5918367346938775,0.7033750000000001,0.5306122448979591,0.710875
48,5,64,4,0.6,Adadelta,28,0.9677190399169922,0.09250337362289429,0.5918367346938775,0.708625,0.5510204081632653,0.7204999999999999
48,5,64,1,0.6,Adam,40,0.9706934356689453,0.08197357580065727,0.44897959183673464,0.753,0.5102040816326531,0.7655
48,5,64,2,0.6,Adam,40,0.9706613159179688,0.07826312720775604,0.5102040816326531,0.7617500000000001,0.5102040816326531,0.7680000000000001
48,5,64,3,0.6,Adam,39,0.9726394653320313,0.07999851912260056,0.7551020408163265,0.75825,0.6530612244897959,0.776375
48,5,64,4,0.6,Adam,45,0.9726800537109375,0.07975226163864135,0.7142857142857142,0.759875,0.5102040816326531,0.768375
48,5,64,1,0.6,Adamax,35,0.9693820190429687,0.083418927192688,0.5918367346938775,0.7335,0.5510204081632653,0.756625
48,5,64,2,0.6,Adamax,34,0.9715486145019532,0.08900188505649567,0.6122448979591836,0.7445,0.5102040816326531,0.753375
48,5,64,3,0.6,Adamax,36,0.9691282653808594,0.09663990706205368,0.4693877551020408,0.7247499999999999,0.4897959183673469,0.7475
48,5,64,4,0.6,Adamax,37,0.9716400909423828,0.0857999011874199,0.6326530612244897,0.7384999999999999,0.5510204081632653,0.7546250000000001
48,5,64,1,0.6,Nadam,45,0.9756569671630859,0.06784739911556244,0.5306122448979591,0.772,0.5714285714285714,0.7797499999999999
48,5,64,2,0.6,Nadam,49,0.9711197662353516,0.07901514828205108,0.6326530612244897,0.74,0.6530612244897959,0.756875
48,5,64,3,0.6,Nadam,51,0.9704322052001954,0.07785673379898071,0.7346938775510203,0.744375,0.6530612244897959,0.766125
48,5,64,4,0.6,Nadam,46,0.9683274078369141,0.08546853259205818,0.673469387755102,0.723125,0.5918367346938775,0.7341249999999999